file ,text_A,text_B,Question_1,Question_2,Reason_no_question
Care_for_an_American_Pit_Bull_Terrier.txt,"When your dog is shedding , typically in late spring and early fall , brushing her daily will keep her coat looking its best .","When your dog is shedding , typically in late spring and early fall , 
brushing them daily will keep their coat looking its best .",,,
Style_Your_Scene_Hair_(for_Girls).txt,Spray each piece of hair after teasing it .,Tease each piece of hair .,,,
Record_Audio_with_VLC.tx,It ; s in the menu bar at the top .,It 's in the menu bar at the top right-hand side .,,,
Start_Chinese_Brush_Painting.txt,"You may decide to combine 
these two styles , uniting detail 
and freedom of expression for effect .","Decide to combine these two styles , uniting detail and freedom 
of expression for effect .",,,
Install_Oracle_Java_JDK_on_Ubuntu_Linux.txt,Type / Copy / Paste : sudo rm - rf libnpjp2.so,Type / Copy / Paste : sudo rm - rf jdk1.7.0 _ 40,,,
Give_a_Room_a_Tropical_Theme.txt,"Border your ceilings with pieces 
of bamboo , and lay a couple bamboo 
throw rugs on the floor .","Border your ceilings with pieces of bamboo , and lay a couple of bamboo 
throw rugs on the floor .",,,
Take_Glutamine.txt,"Be aware that glutamine is completely different 
from glutamate ( glutamic acid ) , monosodium 
glutamate , and gluten .","Be aware that glutamine is completely different from glutamate , 
glutamic acid , monosodium glutamate ,
and gluten .",,,
Breed_Red_Cherry_Shrimp.txt,"Shrimp eat flake food , sinking pellets , or blanched squash or zucchini .","Feed the shrimp flake food , sinking pellets , or blanched squash or zucchini .",,,
Graph_Sine_and_Cosine_Functions.txt,"Second , for y = cos ( x ) , plot and connect the points ( 0 , 1 ) , ( π / 2 , 0 ) , ( π , - 1 ) , and ( 3π / 2 , 0 ) with a continuous curve .","Plot and connect the points ( 0 , 1 ) , ( π / 2 , 0 ) , ( π , - 1 ) , and 
( 3π / 2 , 0 ) with a continuous curve .",,,
Arm_Knit.txt,Repeat to the end of the row .,"Repeat the bind off sequence 
to the end of the row .",,,
Brew_San_Pedro_Cactus.txt,"After about 2 hrs until it 's approx 2 oz 's of 
liquid or one double shot .","After about 2 hrs until it 's approx 2 ounces of liquid 
or one double shot .",,,
It 's the app that has a colorful checker pattern,"It 's the app that has a colorful checker pattern with a white square in the middle with an "" S "" .","It 's the app that has a colorful checker pattern with a black letter "" S "" on 
a white background .",,,
Ignore_Small_Setbacks_and_See_the_Bigger_Picture.txt,Write down your big goals .. if you 've no idea think about a few goals,If you 've no idea think about a few goals and decide on your main goals .,,,
Get_a_Record_Deal_in_America_when_You_Don't_Live_in_the_US.txt,"When you have found a few search them , 
preferably on Google and find the label 
they are signed with .","When you have found a few search for them 
( preferably on Google ) and find the label 
they are signed with .",,,
Pack_a_Wound.txt,This allows for faster healing from the inside going outward .,This allows for faster healing from the inside out .,,,
Find_Telegram_Channels_on_iPhone_or_iPad.txt,Tap to view channel in Telegram .,This will view display the channel in Telegram .,,,
Finish_the_Feed_the_Head_Game.txt,food circles will drop .,"After you pull the tree off , food circles will drop .",,,
Do_a_Casper_Trick.txt,try learning variations of the casper e.g 360 casper,Try learning variations of the Casper e.g 360 Casper .,,,
Become_a_Civil_War_Drummer_(Reenacting).txt,I use those because I do n't find it easy to care a drum with a neck sling .,"You might want to use those because you might not find it 
easy to care a drum with a neck sling .",,,
Convert_a_PDF_to_a_Word_Document.txt,It 's near the middle of the drop-down menu .,It 's near the top of the right-click drop-down menu .,,,
Remove_Wax_from_Carpet.txt,"Do not use any paper products ! 
They may combust from the heat of the iron .","Do not use any paper products for absorbtion ! They may 
combust from the heat of the iron .",,,
Remove_Rusted_Screws.txt,Spread the oily rags over a non-flammable surface out of direct sunlight .,Leave them to dry on a non-flammable surface out of direct sunlight .,,,
Make_Felt.txt,"Once you learn the process of felting , let your 
imagination be your guide .","Once you learn the process of felting , you can let your imagination 
be your guide and move on to other , more complex shapes .",,,
Apply_Concealer.txt,"Gently dab the concealer over under-eye 
shadows , moles , or pimples , then blend it in .","Gently dab the concealer over under-eye shadows , moles , or pimples .",,,
Say_Aeropostale.txt,"The word can be pronounced quite simply by sounding 
out each syllable and stressing the final syllable 
rather than the first , which is common in English ... 
This is a word that follows French pronunciation .","The word can be pronounced quite simply by sounding out 
each syllable and stressing the final syllable rather than the first .",,,
Play_Belote.txt,A deck of 32 cards .,Use 32 cards from a classic deck of cards .,,,
Give_Yourself_an_Inexpensive_Makeover.txt,"Grate the apple , mix in the honey .","apple 1 teaspoon honey Grate the apple , mix in the honey .",,,
Stand_up_for_Yourself.txt,Not much of this is very correct .,Not much of this is particularly true .,,,
Create_a_Math_Article_on_wikiHow.txt,"If you include a variable , or a discretionary constant , state the contemplated VALUE RANGE of same , and any prohibited values , eg. 0 , - 1 , 1 , values which take a denominator to zero , or other ERROR-RESULTs not desired , etc. However , in the case that Errors are allowable and even desirable , state so plainly in the Steps and Tips as clearly as possible with a full explanation that errors evaluate to zero or blank or whatever is the case , and that such results - - like a variable returning to a central { 0 , 0 } value caused by errors - - has been PLANNED and is DESIRABLE and NOT TO BE ALARMED ABOUT .","If you include a variable , or a discretionary constant , state the contemplated 
value range of same , and any prohibited values , e.g. 0 , - 1 , 1 , values 
which take a denominator to zero , or other error-results not desired , etc.
 However , in the case that Errors are allowable and even desirable , 
state so plainly in the Steps and Tips as clearly as possible with a full explanation
 that errors evaluate to zero or blank or whatever is the case , and that such results - - 
like a variable returning to a central { 0 , 0 } value caused by errors - - 
has been planned and is desirable and not to be alarmed about .",,,
Use_an_Infant_Aspirator.txt,Fill a small bowl with warm soapy water .,Fill a small bowl with warm soapy water and squeeze the aspirator bulb .,,,
