Wear always protective equipment including helmets , kneepads and others .	['VB', 'RB', 'JJ', 'NN', 'VBG', 'NNS', ',', 'NNS', 'CC', 'NNS', '.']	[('root', 0), ('advmod', 3), ('amod', 4), ('obj', 1), ('case', 6), ('nmod', 4), ('punct', 8), ('conj', 6), ('cc', 10), ('conj', 6), ('punct', 1)]

Make sure to keep the pH of your tank water between 6.5 and 7.2 .	['VB', 'JJ', 'TO', 'VB', 'DT', 'NN', 'NN', 'IN', 'PRP$', 'NN', 'NN', 'IN', 'CD', 'CC', 'CD', '.']	[('root', 0), ('xcomp', 1), ('mark', 4), ('xcomp', 2), ('det', 7), ('compound', 7), ('obj', 4), ('case', 11), ('nmod:poss', 11), ('compound', 11), ('nmod', 7), ('case', 13), ('obl', 4), ('cc', 15), ('conj', 13), ('punct', 1)]
Also make sure to keep the pH of your tank water between 6.5 and 7.2 .	['RB', 'VB', 'JJ', 'TO', 'VB', 'DT', 'NN', 'NN', 'IN', 'PRP$', 'NN', 'NN', 'IN', 'CD', 'CC', 'CD', '.']	[('advmod', 2), ('root', 0), ('xcomp', 2), ('mark', 5), ('xcomp', 3), ('det', 8), ('compound', 8), ('obj', 5), ('case', 12), ('nmod:poss', 12), ('compound', 12), ('nmod', 8), ('case', 14), ('obl', 5), ('cc', 16), ('conj', 14), ('punct', 2)]

Draw back the arrow , pulling it back to whatever spot on your face you feel most comfortable with .	['VB', 'RP', 'DT', 'NN', ',', 'VBG', 'PRP', 'RB', 'IN', 'WDT', 'NN', 'IN', 'PRP$', 'NN', 'PRP', 'VBP', 'RBS', 'JJ', 'IN', '.']	[('root', 0), ('compound:prt', 1), ('det', 4), ('obj', 1), ('punct', 1), ('advcl', 1), ('obj', 6), ('advmod', 6), ('case', 11), ('det', 11), ('obl', 6), ('case', 14), ('nmod:poss', 14), ('nmod', 11), ('nsubj', 16), ('parataxis', 1), ('advmod', 18), ('xcomp', 16), ('obl', 18), ('punct', 1)]
You can draw back the arrow to whatever spot on your face you feel most comfortable with .	['PRP', 'MD', 'VB', 'RP', 'DT', 'NN', 'IN', 'WDT', 'NN', 'IN', 'PRP$', 'NN', 'PRP', 'VBP', 'RBS', 'JJ', 'IN', '.']	[('nsubj', 3), ('aux', 3), ('root', 0), ('compound:prt', 3), ('det', 6), ('obj', 3), ('case', 9), ('det', 9), ('obl', 3), ('case', 12), ('nmod:poss', 12), ('nmod', 9), ('nsubj', 14), ('acl:relcl', 12), ('advmod', 16), ('xcomp', 14), ('obl', 16), ('punct', 3)]

Find the middle way instead and the means by which your interests and the other person 's interests can meet in the middle .	['VB', 'DT', 'JJ', 'NN', 'RB', 'CC', 'DT', 'NNS', 'IN', 'WDT', 'PRP$', 'NNS', 'CC', 'DT', 'JJ', 'NN', 'POS', 'NNS', 'MD', 'VB', 'IN', 'DT', 'NN', '.']	[('root', 0), ('det', 4), ('amod', 4), ('obj', 1), ('case', 8), ('cc', 8), ('det', 8), ('conj', 1), ('case', 10), ('obl', 20), ('nmod:poss', 12), ('nsubj', 20), ('cc', 16), ('det', 16), ('amod', 16), ('nmod:poss', 18), ('case', 16), ('conj', 12), ('aux', 20), ('acl:relcl', 8), ('case', 23), ('det', 23), ('obl', 20), ('punct', 1)]
" Find the middle way instead and the means by which your interests and the other person 's interests can meet in the middle .	['``']	[('root', 0)]

Let it go now and then and just stop .	['VB', 'PRP', 'VB', 'RB', 'CC', 'RB', 'CC', 'RB', 'VB', '.']	[('root', 0), ('obj', 1), ('xcomp', 1), ('advmod', 3), ('cc', 9), ('advmod', 9), ('cc', 9), ('advmod', 9), ('conj', 1), ('punct', 1)]
" Let it go now and then and just stop .	['``']	[('root', 0)]

Give yourself a reward for completing your milestones , like finishing the first chapter of a manuscript or completing expense reports on time .	['VB', 'PRP', 'DT', 'NN', 'IN', 'VBG', 'PRP$', 'NNS', ',', 'IN', 'VBG', 'DT', 'JJ', 'NN', 'IN', 'DT', 'NN', 'CC', 'VBG', 'NN', 'NNS', 'IN', 'NN', '.']	[('root', 0), ('iobj', 1), ('det', 4), ('obj', 1), ('mark', 6), ('acl', 4), ('nmod:poss', 8), ('obj', 6), ('punct', 1), ('mark', 11), ('advcl', 6), ('det', 14), ('amod', 14), ('obj', 11), ('case', 17), ('det', 17), ('nmod', 14), ('cc', 19), ('conj', 11), ('compound', 21), ('obj', 19), ('case', 23), ('obl', 19), ('punct', 1)]
After you complete a milestone , like finishing the first chapter of a manuscript or completing expense reports on time , reward yourself .	['IN', 'PRP', 'VBP', 'DT', 'NN', ',', 'IN', 'VBG', 'DT', 'JJ', 'NN', 'IN', 'DT', 'NN', 'CC', 'VBG', 'NN', 'NNS', 'IN', 'NN', ',', 'VB', 'PRP', '.']	[('mark', 3), ('nsubj', 3), ('advcl', 22), ('det', 5), ('obj', 3), ('punct', 22), ('mark', 8), ('advcl', 3), ('det', 11), ('amod', 11), ('obj', 8), ('case', 14), ('det', 14), ('nmod', 11), ('cc', 16), ('conj', 8), ('compound', 18), ('obj', 16), ('case', 20), ('obl', 16), ('punct', 22), ('root', 0), ('obj', 22), ('punct', 22)]

Need help defeating Bowser in New Super Mario Bros 2 ?	['VBP', 'NN', 'VBG', 'NNP', 'IN', 'NNP', 'NNP', 'NNP', 'NNP', 'CD', '.']	[('root', 0), ('obj', 1), ('acl', 2), ('obj', 3), ('case', 8), ('compound', 7), ('compound', 8), ('obl', 3), ('flat', 8), ('nummod', 8), ('punct', 1)]
How to Beat Bowser in New Super Mario Bros. DS	['WRB', 'TO', 'VB', 'NNP', 'IN', 'NNP', 'NNP', 'NNP', 'NNP', '.']	[('advmod', 3), ('mark', 3), ('root', 0), ('obj', 3), ('case', 9), ('compound', 7), ('compound', 8), ('compound', 9), ('obl', 3), ('punct', 3)]

Need help defeating Bowser in New Super Mario Bros 2 ?	['VBP', 'NN', 'VBG', 'NNP', 'IN', 'NNP', 'NNP', 'NNP', 'NNP', 'CD', '.']	[('root', 0), ('obj', 1), ('acl', 2), ('obj', 3), ('case', 8), ('compound', 7), ('compound', 8), ('obl', 3), ('flat', 8), ('nummod', 8), ('punct', 1)]
How to Defeat Bowser in New Super Mario Bros	['WRB', 'TO', 'VB', 'NNP', 'IN', 'NNP', 'NNP', 'NNP', 'NNP']	[('advmod', 3), ('mark', 3), ('root', 0), ('obj', 3), ('case', 9), ('compound', 7), ('compound', 9), ('compound', 9), ('obl', 3)]

ive met many single guys at my church and see this patern .	['VBP', 'VBN', 'JJ', 'JJ', 'NNS', 'IN', 'PRP$', 'NN', 'CC', 'VBP', 'DT', 'NN', '.']	[('aux', 2), ('root', 0), ('amod', 5), ('amod', 5), ('obj', 2), ('case', 8), ('nmod:poss', 8), ('obl', 2), ('cc', 10), ('conj', 2), ('det', 12), ('obj', 10), ('punct', 2)]
I 've met many single guys at my church and see this pattern .	['PRP', 'VBP', 'VBN', 'JJ', 'JJ', 'NNS', 'IN', 'PRP$', 'NN', 'CC', 'VBP', 'DT', 'NN', '.']	[('nsubj', 3), ('aux', 3), ('root', 0), ('amod', 6), ('amod', 6), ('obj', 3), ('case', 9), ('nmod:poss', 9), ('obl', 3), ('cc', 11), ('conj', 3), ('det', 13), ('obj', 11), ('punct', 3)]

Apply a thin layer of white base on your face .	['VB', 'DT', 'JJ', 'NN', 'IN', 'JJ', 'NN', 'IN', 'PRP$', 'NN', '.']	[('root', 0), ('det', 4), ('amod', 4), ('obj', 1), ('case', 7), ('amod', 7), ('nmod', 4), ('case', 10), ('nmod:poss', 10), ('obl', 1), ('punct', 1)]
' Apply a thin layer of white base on your face .	['``']	[('root', 0)]

Do not miss Friday prayer .	['VB', 'RB', 'VB', 'NNP', 'NN', '.']	[('aux', 3), ('advmod', 3), ('root', 0), ('compound', 5), ('obj', 3), ('punct', 3)]
Never miss a Friday prayer .	['RB', 'VB', 'DT', 'NNP', 'NN', '.']	[('advmod', 2), ('root', 0), ('det', 5), ('compound', 5), ('obj', 2), ('punct', 2)]

Remember : " I am as My servant thinks I am .	['VB', ':', '``', 'PRP', 'VBP', 'IN', 'PRP$', 'NN', 'VBZ', 'PRP', 'VBP', '.']	[('root', 0), ('punct', 1), ('punct', 1), ('nsubj', 5), ('ccomp', 1), ('mark', 9), ('nmod:poss', 8), ('nsubj', 9), ('advcl', 1), ('nsubj', 9), ('cop', 9), ('punct', 1)]
' I am as My servant thinks I am .	['``', 'PRP', 'VBP', 'IN', 'PRP$', 'NN', 'VBZ', 'PRP', 'VBP', '.']	[('punct', 3), ('nsubj', 3), ('root', 0), ('mark', 7), ('nmod:poss', 6), ('nsubj', 7), ('advcl', 3), ('nsubj', 7), ('cop', 7), ('punct', 3)]

Remember : عَنْ أَبِي هُرَيْرَةَ رَضِيَ اللَّهُ عَنْهُ قَالَ : قَالَ النَّبِيُّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ :	['VB', ':', 'NN', 'NN', 'NN', 'NN', 'NN', 'NN', 'NN', ':']	[('root', 0), ('punct', 1), ('compound', 4), ('compound', 5), ('compound', 6), ('compound', 7), ('compound', 9), ('compound', 9), ('parataxis', 1), ('punct', 1)]
عَنْ أَبِي هُرَيْرَةَ رَضِيَ اللَّهُ عَنْهُ قَالَ : قَالَ النَّبِيُّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ :	['NN', 'NN', 'NN', 'NN', 'NN', 'NN', 'NN', ':']	[('compound', 2), ('root', 0), ('compound', 2), ('compound', 5), ('compound', 7), ('compound', 7), ('list', 2), ('punct', 7)]

Buy an LPS cow .	['VB', 'DT', 'NN', 'NN', '.']	[('root', 0), ('det', 4), ('compound', 4), ('obj', 1), ('punct', 1)]
An LPS cow	['DT', 'NN', 'NN']	[('det', 3), ('compound', 3), ('root', 0)]

Pull over : Sure it may seem like a fun idea to get on TV for a few hours while news and police helicopters chase you from here to kingdom come but be assured there is only one thing that makes cops madder than running away from them so do not do it .	['VB', 'RP', ':']	[('root', 0), ('compound:prt', 1), ('punct', 1)]
Sure , it may seem like a fun idea to get on TV for a few hours while news and police helicopters chase you from here to kingdom come but be assured there is only one thing that makes cops madder than running away from them so do not do it .	['UH', ',', 'PRP', 'MD', 'VB', 'IN', 'DT', 'JJ', 'NN', 'TO', 'VB', 'IN', 'NN', 'IN', 'DT', 'JJ', 'NNS', 'IN', 'NN', 'CC', 'NN', 'NNS', 'VBP', 'PRP', 'IN', 'RB', 'IN', 'NN', 'VB', 'CC', 'VB', 'VBN', 'EX', 'VBZ', 'RB', 'CD', 'NN', 'WDT', 'VBZ', 'NNS', 'JJ', 'IN', 'VBG', 'RB', 'IN', 'PRP', 'RB', 'VB', 'RB', 'VB', 'PRP', '.']	[('discourse', 5), ('punct', 5), ('nsubj', 5), ('aux', 5), ('root', 0), ('case', 9), ('det', 9), ('amod', 9), ('obl', 5), ('mark', 11), ('acl', 9), ('case', 13), ('obl', 11), ('case', 17), ('det', 17), ('amod', 17), ('obl', 11), ('mark', 23), ('compound', 22), ('cc', 21), ('conj', 19), ('nsubj', 23), ('advcl', 11), ('obj', 23), ('case', 26), ('obl', 23), ('case', 28), ('obl', 26), ('advcl', 23), ('cc', 32), ('aux:pass', 32), ('conj', 5), ('expl', 34), ('ccomp', 32), ('advmod', 37), ('nummod', 37), ('nsubj', 34), ('nsubj', 39), ('acl:relcl', 37), ('obj', 39), ('xcomp', 39), ('mark', 43), ('advcl', 39), ('advmod', 43), ('case', 46), ('obl', 44), ('advmod', 50), ('aux', 50), ('advmod', 50), ('parataxis', 5), ('obj', 50), ('punct', 5)]

Focus on office safety first .	['VB', 'IN', 'NN', 'NN', 'RB', '.']	[('root', 0), ('case', 4), ('compound', 4), ('obl', 1), ('advmod', 1), ('punct', 1)]
Focus on officer safety first .	['NN', 'IN', 'NN', 'NN', 'RB', '.']	[('root', 0), ('case', 4), ('compound', 4), ('nmod', 1), ('advmod', 1), ('punct', 1)]

Tell him if you take medications or have an illness that can cause driving problems .	['VB', 'PRP', 'IN', 'PRP', 'VBP', 'NNS', 'CC', 'VBP', 'DT', 'NN', 'WDT', 'MD', 'VB', 'NN', 'NNS', '.']	[('root', 0), ('obj', 1), ('mark', 5), ('nsubj', 5), ('advcl', 1), ('obj', 5), ('cc', 8), ('conj', 5), ('det', 10), ('obj', 8), ('nsubj', 13), ('aux', 13), ('acl:relcl', 10), ('compound', 15), ('obj', 13), ('punct', 1)]
However , tell him if you take medications or have an illness that can cause driving problems .	['RB', ',', 'VB', 'PRP', 'IN', 'PRP', 'VBP', 'NNS', 'CC', 'VBP', 'DT', 'NN', 'WDT', 'MD', 'VB', 'NN', 'NNS', '.']	[('advmod', 3), ('punct', 3), ('root', 0), ('obj', 3), ('mark', 7), ('nsubj', 7), ('advcl', 3), ('obj', 7), ('cc', 10), ('conj', 7), ('det', 12), ('obj', 10), ('nsubj', 15), ('aux', 15), ('acl:relcl', 12), ('compound', 17), ('obj', 15), ('punct', 3)]

Continue to wear your safety belt .	['VB', 'TO', 'VB', 'PRP$', 'NN', 'NN', '.']	[('root', 0), ('mark', 3), ('xcomp', 1), ('nmod:poss', 6), ('compound', 6), ('obj', 3), ('punct', 1)]
" Continue to wear your safety belt .	['``', 'VB', 'TO', 'VB', 'PRP$', 'NN', 'NN', '.']	[('punct', 2), ('root', 0), ('mark', 4), ('xcomp', 2), ('nmod:poss', 7), ('compound', 7), ('obj', 4), ('punct', 2)]

Ask for help more than likely people will like to help when they see you struggle .	['VB', 'IN', 'NN', 'JJR', 'IN', 'JJ', 'NNS', 'MD', 'VB', 'TO', 'VB', 'WRB', 'PRP', 'VBP', 'PRP', 'NN', '.']	[('root', 0), ('case', 3), ('obl', 1), ('obj', 1), ('mark', 6), ('obl', 4), ('nsubj', 9), ('aux', 9), ('acl:relcl', 6), ('mark', 11), ('xcomp', 9), ('mark', 14), ('nsubj', 14), ('advcl', 11), ('iobj', 14), ('obj', 14), ('punct', 1)]
More than likely people will be happy to help when they see you struggle .	['JJR', 'IN', 'JJ', 'NNS', 'MD', 'VB', 'JJ', 'TO', 'VB', 'WRB', 'PRP', 'VBP', 'PRP', 'NN', '.']	[('nsubj', 7), ('case', 3), ('amod', 4), ('nsubj', 7), ('aux', 7), ('cop', 7), ('root', 0), ('mark', 9), ('advcl', 7), ('mark', 12), ('nsubj', 12), ('advcl', 9), ('iobj', 12), ('obj', 12), ('punct', 7)]

Start with a homepage , information about the company , upcoming projects , media content ( such as teasers / trailers ) and maybe some background information about the crew .	['VB', 'IN', 'DT', 'NN', ',', 'NN', 'IN', 'DT', 'NN', ',', 'JJ', 'NNS', ',', 'NN', 'NN', '-LRB-', 'JJ', 'IN', 'NNS', ',', 'NNS', '-RRB-', 'CC', 'RB', 'DT', 'NN', 'NN', 'IN', 'DT', 'NN', '.']	[('root', 0), ('case', 4), ('det', 4), ('obl', 1), ('punct', 6), ('conj', 4), ('case', 9), ('det', 9), ('nmod', 6), ('punct', 12), ('amod', 12), ('conj', 9), ('punct', 15), ('compound', 15), ('conj', 9), ('punct', 19), ('case', 19), ('fixed', 17), ('nmod', 4), ('cc', 21), ('conj', 19), ('punct', 19), ('cc', 27), ('advmod', 27), ('det', 27), ('compound', 27), ('conj', 4), ('case', 30), ('det', 30), ('nmod', 27), ('punct', 1)]
On your homepage , highlight information about the company , upcoming projects , media content ( such as teasers / trailers ) , and perhaps some background information about your employees .	['IN', 'PRP$', 'NN', ',', 'VB', 'NN', 'IN', 'DT', 'NN', ',', 'JJ', 'NNS', ',', 'NN', 'NN', '-LRB-', 'JJ', 'IN', 'NNS', ',', 'NNS', '-RRB-', ',', 'CC', 'RB', 'DT', 'NN', 'NN', 'IN', 'PRP$', 'NNS', '.']	[('case', 3), ('nmod:poss', 3), ('obl', 5), ('punct', 5), ('root', 0), ('obj', 5), ('case', 9), ('det', 9), ('nmod', 6), ('punct', 12), ('amod', 12), ('conj', 9), ('punct', 15), ('compound', 15), ('conj', 9), ('punct', 19), ('case', 19), ('fixed', 17), ('nmod', 9), ('cc', 21), ('conj', 19), ('punct', 19), ('punct', 28), ('cc', 28), ('advmod', 28), ('det', 28), ('compound', 28), ('conj', 9), ('case', 31), ('nmod:poss', 31), ('nmod', 28), ('punct', 5)]

Expect 100 percent honesty from your auditor .	['VB', 'CD', 'NN', 'NN', 'IN', 'PRP$', 'NN', '.']	[('root', 0), ('nummod', 3), ('compound', 4), ('obj', 1), ('case', 7), ('nmod:poss', 7), ('obl', 1), ('punct', 1)]
Companies expect 100 percent honesty from an auditor .	['NNS', 'VBP', 'CD', 'NN', 'NN', 'IN', 'DT', 'NN', '.']	[('nsubj', 2), ('root', 0), ('nummod', 4), ('compound', 5), ('obj', 2), ('case', 8), ('det', 8), ('obl', 2), ('punct', 2)]

Buying a new Ferrari made simple .	['VBG', 'DT', 'JJ', 'NNP', 'VBD', 'JJ', '.']	[('csubj', 5), ('det', 4), ('amod', 4), ('obj', 1), ('root', 0), ('xcomp', 5), ('punct', 5)]
Buyng a new Ferrari made simple .	['NNP', 'DT', 'JJ', 'NNP', 'VBD', 'JJ', '.']	[('nsubj', 5), ('det', 4), ('amod', 4), ('nsubj', 5), ('root', 0), ('xcomp', 5), ('punct', 5)]

Feel comfortable filing court documents and negotiating with their spouse .	['VB', 'JJ', 'NN', 'NN', 'NNS', 'CC', 'VBG', 'IN', 'PRP$', 'NN', '.']	[('root', 0), ('amod', 5), ('compound', 4), ('compound', 5), ('obj', 1), ('cc', 7), ('conj', 1), ('case', 10), ('nmod:poss', 10), ('obl', 7), ('punct', 1)]
You are comfortable filing court documents and negotiating with your spouse .	['PRP', 'VBP', 'JJ', 'NN', 'NN', 'NNS', 'CC', 'VBG', 'IN', 'PRP$', 'NN', '.']	[('nsubj', 6), ('cop', 6), ('amod', 6), ('compound', 5), ('compound', 6), ('root', 0), ('cc', 8), ('conj', 6), ('case', 11), ('nmod:poss', 11), ('obl', 8), ('punct', 6)]

Do n't take advantage of them or they will never do it again .	['VB', 'RB', 'VB', 'NN', 'IN', 'PRP', 'CC', 'PRP', 'MD', 'RB', 'VB', 'PRP', 'RB', '.']	[('aux', 3), ('advmod', 3), ('root', 0), ('obj', 3), ('case', 6), ('nmod', 4), ('cc', 11), ('nsubj', 11), ('aux', 11), ('advmod', 11), ('conj', 3), ('obj', 11), ('advmod', 11), ('punct', 3)]
" Do n't take advantage of them or they will never do it again ..	['``']	[('root', 0)]

Buy a small air compressor powered by a battery	['VB', 'DT', 'JJ', 'NN', 'NN', 'VBN', 'IN', 'DT', 'NN']	[('root', 0), ('det', 5), ('amod', 5), ('compound', 5), ('obj', 1), ('acl', 5), ('case', 9), ('det', 9), ('obl', 6)]
A small air compressor powered by a battery	['DT', 'JJ', 'NN', 'NN', 'VBN', 'IN', 'DT', 'NN']	[('det', 4), ('amod', 4), ('compound', 4), ('root', 0), ('acl', 4), ('case', 8), ('det', 8), ('obl', 5)]

Buy 2.5 feet of Sch .	['VB', 'CD', 'NNS', 'IN', 'NNP', '.']	[('root', 0), ('nummod', 3), ('obj', 1), ('case', 5), ('nmod', 3), ('punct', 1)]
feet of Sch .	['NNS', 'IN', 'NNP', '.']	[('root', 0), ('case', 3), ('nmod', 1), ('punct', 1)]

Buy a small PVC ( NOT ABS ) valve	['VB', 'DT', 'JJ', 'NN', '-LRB-', 'RB', 'NN', '-RRB-', 'NN']	[('root', 0), ('det', 9), ('amod', 9), ('compound', 9), ('punct', 7), ('advmod', 7), ('compound', 9), ('punct', 7), ('obj', 1)]
A small PVC ( NOT ABS ) valve	['DT', 'JJ', 'NN', '-LRB-', 'RB', 'NN', '-RRB-', 'NN']	[('det', 8), ('amod', 8), ('compound', 8), ('punct', 8), ('advmod', 6), ('compound', 8), ('punct', 6), ('root', 0)]

Buy 3 feet of 1 / 2 in Pipe	['VB', 'CD', 'NNS', 'IN', 'CD', 'SYM', 'CD', 'IN', 'NN']	[('root', 0), ('nummod', 3), ('obj', 1), ('case', 5), ('nmod', 3), ('case', 7), ('nmod', 5), ('case', 9), ('obl', 1)]
feet of 1 / 2 in Pipe	['NNS', 'IN', 'CD', ',', 'CD', 'IN', 'NN']	[('root', 0), ('case', 5), ('nmod', 1), ('punct', 5), ('nmod', 3), ('case', 7), ('nmod', 1)]

Buy one cap and tire valve , or salvage tire valve from car or bike tire	['VB', 'CD', 'NN', 'CC', 'NN', 'NN', ',', 'CC', 'NN', 'NN', 'NN', 'IN', 'NN', 'CC', 'NN', 'NN']	[('root', 0), ('nummod', 3), ('obj', 1), ('cc', 6), ('compound', 6), ('conj', 3), ('punct', 11), ('cc', 11), ('compound', 11), ('compound', 11), ('conj', 3), ('case', 16), ('compound', 16), ('cc', 15), ('conj', 13), ('nmod', 11)]
One cap and tire valve , or salvage tire valve from car or bike tire	['CD', 'NN', 'CC', 'NN', 'NN', ',', 'CC', 'NN', 'NN', 'NN', 'IN', 'NN', 'CC', 'NN', 'NN']	[('nummod', 2), ('root', 0), ('cc', 5), ('compound', 5), ('conj', 2), ('punct', 10), ('cc', 10), ('compound', 10), ('compound', 10), ('conj', 2), ('case', 15), ('compound', 15), ('cc', 14), ('conj', 12), ('nmod', 10)]

Try to always do your homework on time .	['VB', 'TO', 'RB', 'VB', 'PRP$', 'NN', 'IN', 'NN', '.']	[('root', 0), ('mark', 4), ('advmod', 4), ('xcomp', 1), ('nmod:poss', 6), ('obj', 4), ('case', 8), ('obl', 4), ('punct', 1)]
Aim to do your homework on time .	['NN', 'TO', 'VB', 'PRP$', 'NN', 'IN', 'NN', '.']	[('root', 0), ('mark', 3), ('acl', 1), ('nmod:poss', 5), ('obj', 3), ('case', 7), ('obl', 3), ('punct', 1)]

Select a comfortable setting with the pet in your lap , on the floor or on a table .	['VB', 'DT', 'JJ', 'NN', 'IN', 'DT', 'NN', 'IN', 'PRP$', 'NN', ',', 'IN', 'DT', 'NN', 'CC', 'IN', 'DT', 'NN', '.']	[('root', 0), ('det', 4), ('amod', 4), ('obj', 1), ('case', 7), ('det', 7), ('nmod', 4), ('case', 10), ('nmod:poss', 10), ('obl', 1), ('punct', 1), ('case', 14), ('det', 14), ('obl', 1), ('cc', 18), ('case', 18), ('det', 18), ('conj', 14), ('punct', 1)]
You may want the pet in your lap , on the floor or on a table .	['PRP', 'MD', 'VB', 'DT', 'NN', 'IN', 'PRP$', 'NN', ',', 'IN', 'DT', 'NN', 'CC', 'IN', 'DT', 'NN', '.']	[('nsubj', 3), ('aux', 3), ('root', 0), ('det', 5), ('obj', 3), ('case', 8), ('nmod:poss', 8), ('obl', 3), ('punct', 3), ('case', 12), ('det', 12), ('obl', 3), ('cc', 16), ('case', 16), ('det', 16), ('conj', 12), ('punct', 3)]

Try saying , " When our team is assigned a project with a tight deadline , I take a more authoritative approach to ensure we meet that deadline . "	['VB', 'VBG', ',', '``', 'WRB', 'PRP$', 'NN', 'VBZ', 'VBN', 'DT', 'NN', 'IN', 'DT', 'JJ', 'NN', ',', 'PRP', 'VBP', 'DT', 'RBR', 'JJ', 'NN', 'TO', 'VB', 'PRP', 'VBP', 'DT', 'NN', '.', "''"]	[('root', 0), ('xcomp', 1), ('punct', 1), ('punct', 1), ('mark', 9), ('nmod:poss', 7), ('nsubj:pass', 9), ('aux:pass', 9), ('advcl', 18), ('det', 11), ('obj', 9), ('case', 15), ('det', 15), ('amod', 15), ('obl', 9), ('punct', 18), ('nsubj', 18), ('ccomp', 2), ('det', 22), ('advmod', 21), ('amod', 22), ('obj', 18), ('mark', 24), ('acl', 22), ('nsubj', 26), ('ccomp', 24), ('det', 28), ('obj', 26), ('punct', 1), ('punct', 1)]
You could say , " When our team is assigned a project with a tight deadline , I take a more authoritative approach to ensure we meet that deadline . "	['PRP', 'MD', 'VB', ',', '``', 'WRB', 'PRP$', 'NN', 'VBZ', 'VBN', 'DT', 'NN', 'IN', 'DT', 'JJ', 'NN', ',', 'PRP', 'VBP', 'DT', 'RBR', 'JJ', 'NN', 'TO', 'VB', 'PRP', 'VBP', 'DT', 'NN', '.', "''"]	[('nsubj', 3), ('aux', 3), ('root', 0), ('punct', 3), ('punct', 3), ('mark', 10), ('nmod:poss', 8), ('nsubj:pass', 10), ('aux:pass', 10), ('advcl', 19), ('det', 12), ('obj', 10), ('case', 16), ('det', 16), ('amod', 16), ('obl', 10), ('punct', 19), ('nsubj', 19), ('ccomp', 3), ('det', 23), ('advmod', 22), ('amod', 23), ('obj', 19), ('mark', 25), ('acl', 23), ('nsubj', 27), ('ccomp', 25), ('det', 29), ('obj', 27), ('punct', 3), ('punct', 3)]

Stretching - Probably the most important part of all is stretching .	['VBG', ',', 'RB', 'DT', 'RBS', 'JJ', 'NN', 'IN', 'DT', 'VBZ', 'VBG', '.']	[('csubj', 11), ('punct', 11), ('advmod', 11), ('det', 7), ('advmod', 6), ('amod', 7), ('nsubj', 11), ('case', 9), ('nmod', 7), ('aux', 11), ('root', 0), ('punct', 11)]
Probably the most important part of all is stretching .	['RB', 'DT', 'RBS', 'JJ', 'NN', 'IN', 'DT', 'VBZ', 'VBG', '.']	[('advmod', 9), ('det', 5), ('advmod', 4), ('amod', 5), ('nsubj', 9), ('case', 7), ('nmod', 5), ('aux', 9), ('root', 0), ('punct', 9)]

Making initial deposit is a government regulations and your agency will have to show your receipt or bank transfers slip to make your travel permit .	['VBG', 'JJ', 'NN', 'VBZ', 'DT', 'NN', 'NNS', 'CC', 'PRP$', 'NN', 'MD', 'VB', 'TO', 'VB', 'PRP$', 'NN', 'CC', 'NN', 'NNS', 'VB', 'TO', 'VB', 'PRP$', 'NN', 'NN', '.']	[('csubj', 7), ('amod', 3), ('obj', 1), ('cop', 7), ('det', 7), ('compound', 7), ('root', 0), ('cc', 12), ('nmod:poss', 10), ('nsubj', 12), ('aux', 12), ('conj', 7), ('mark', 14), ('xcomp', 12), ('nmod:poss', 16), ('obj', 14), ('cc', 19), ('compound', 19), ('conj', 16), ('xcomp', 14), ('mark', 22), ('advcl', 20), ('nmod:poss', 25), ('compound', 25), ('obj', 22), ('punct', 7)]
This is a government regulation and your agency will have to show your receipt or bank transfers slip to authorities in order to obtain your travel permit .	['DT', 'VBZ', 'DT', 'NN', 'NN', 'CC', 'PRP$', 'NN', 'MD', 'VB', 'TO', 'VB', 'PRP$', 'NN', 'CC', 'NN', 'NNS', 'VB', 'IN', 'NNS', 'IN', 'NN', 'TO', 'VB', 'PRP$', 'NN', 'NN', '.']	[('nsubj', 5), ('cop', 5), ('det', 5), ('compound', 5), ('root', 0), ('cc', 10), ('nmod:poss', 8), ('nsubj', 10), ('aux', 10), ('conj', 5), ('mark', 12), ('xcomp', 10), ('nmod:poss', 14), ('obj', 12), ('cc', 17), ('compound', 17), ('conj', 14), ('xcomp', 12), ('case', 20), ('obl', 18), ('mark', 24), ('fixed', 21), ('mark', 24), ('advcl', 12), ('nmod:poss', 27), ('compound', 27), ('obj', 24), ('punct', 5)]

Paste the code to the top of the Edit page .	['VB', 'DT', 'NN', 'IN', 'DT', 'NN', 'IN', 'DT', 'NN', 'NN', '.']	[('root', 0), ('det', 3), ('obj', 1), ('case', 6), ('det', 6), ('obl', 1), ('case', 10), ('det', 10), ('compound', 10), ('nmod', 6), ('punct', 1)]
Copy and paste to the top of the Edit page .	['NN', 'CC', 'VB', 'IN', 'DT', 'NN', 'IN', 'DT', 'NN', 'NN', '.']	[('root', 0), ('cc', 3), ('conj', 1), ('case', 6), ('det', 6), ('obl', 3), ('case', 10), ('det', 10), ('compound', 10), ('nmod', 6), ('punct', 1)]

Become a wikiHow Admin	['VB', 'DT', 'NN']	[('root', 0), ('det', 3), ('obj', 1)]
